Schwfel 20 ,-5317.25,-4351.97,-4252.31,-4824.22,-4350.76,-5863.81,-4725.13,-4409.79,-5654.37,-5161.06,-4903.14,-6165.82,-4627.34,-4687.72,-4685.16,-5002.35,-5615.69,-4547.92,-6223.57,-4509.04,-4273.25,-6503.46,-4982.41,-5734.03,-5161.64,-4410.1,-5297.66,-5871.98,-4587.01,-4312.49,,-5033.748333,-4863.68,2251.15,641.3968793,11.687
1st De Jong 20 ,4.1722,27.1237,4.73423,7.9399,4.07782,9.25005,1.31226,10.6797,91.661,1.25645,0.406411,3.28789,8.77722,32.3013,4.25863,5.03785,11.4271,6.21982,2.57458,2.8233,0.961895,0.937583,17.4174,2.49161,9.20491,4.96916,10.206,6.74147,13.7138,41.7487,,11.59046463,5.628835,91.254589,17.59723577,6.832
Rosenbrock 20,20073.2,2027.73,16331.5,1975.26,6864.06,3043.5,2556.35,25784,1270.08,6831.25,3865.67,1488.15,9340.02,7942.54,8133.81,705.196,5908.95,407.689,11265.6,1336.62,12648.3,21279,15242.3,7534.52,1385.43,2256.87,3827.19,1243.01,1305.23,24921.1,,7626.470833,4887.31,25376.311,7426.390415,8.313
Rastrigin 20,370137,201224,189717,162925,285098,188816,269640,233742,229871,254635,202692,176301,265081,181625,268786,335514,221115,243430,308337,241283,134962,218680,225454,217689,214773,246980,282324,297095,272517,159702,,236671.5,231806.5,235175,52402.25501,7.965
Grienwangk 20 ,16.7379,15.7225,32.4533,18.0682,26.4394,5.81165,50.1024,38.5314,22.855,53.7282,26.698,7.88383,19.8309,39.9656,35.6417,11.6471,10.4524,13.2887,42.0969,83.187,11.3468,20.2195,20.1711,8.46163,16.1161,10.971,17.7846,39.2953,12.2204,42.1838,,25.66374367,20.001,77.37535,16.95078859,8.47
Sine Envelope Sine Wave 20,-15.1725,-14.6701,-15.1377,-15.3602,-16.5941,-14.7755,-14.7657,-13.7321,-14.0737,-16.6626,-15.5672,-16.9163,-14.0628,-15.4154,-13.7555,-16.1456,-16.2342,-15.3442,-15.2469,-15.1075,-16.1855,-17.4884,-15.8508,-15.7101,-17.6517,-14.7858,-15.2077,-15.1602,-15.5468,-15.9782,,-15.47683333,-15.3522,3.9196,0.969371605,11.14
Stretch V Sine Wave 20 ,117.913,98.6697,95.4833,95.5832,116.933,104.634,103.26,103.71,98.886,101.258,99.5798,100.389,106.289,96.5001,122.818,93.5104,90.9572,108.427,91.6711,120.623,111.127,103.195,97.3999,96.6979,94.8529,100.324,101.785,98.3531,97.8429,106.19,,102.4954167,100.3565,31.8608,8.166342282,11.2
Ackley One 20,392.764,246.758,267.003,356.36,308.167,347.108,378.137,408.558,277.037,392.974,352.298,266.947,278.467,301.557,381.477,339.388,360.778,299.671,268.559,405.186,345.186,287.106,308.771,286.8,322.059,306.043,281.964,314.849,373.643,372.337,,327.5984,318.454,161.8,46.41008025,9.545
Ackley Two 20,316.617,330.805,327.256,295.653,369.446,365.506,342.83,365.238,329.409,354.05,382.697,361.731,372.953,313.174,374.205,313.498,354.689,341.27,330.378,333.356,315.471,332.634,350.126,293.816,362.587,340.469,323.606,341.28,306.719,366.892,,340.2787,340.8695,88.881,23.84707038,12.461
Egg Holder 20,-11143.1,-7952.47,-9195.25,-6880.97,-8998.85,-7838.11,-7850.2,-6285.57,-7107.77,-7535.29,-7462.87,-7755.07,-3657.98,-5656.25,-7006.74,-9583.05,-6865.03,-8096.63,-6504.81,-6762.89,-8942.16,-5992.39,-6575.76,-5691.4,-6497.87,-6987.03,-7243.04,-5779.69,-6682.67,-6221.08,,-7225.066333,-6996.885,7485.12,1399.48268,9.159
Rana 20 ,-4769.05,-4390.53,-4530.44,-4383.91,-5181.11,-4606.87,-3874.7,-3443.23,-5883.71,-4129.92,-4690,-5236.24,-4037.04,-4707.99,-158.232,-3969.35,-4056.15,-2681.97,-5781.38,-4509.92,-6337.91,-6730.14,-4389.1,-3341.57,-4709.87,-2827.21,-5178.55,-4742.5,-4897.58,-5492.07,,-4455.608067,-4568.655,6571.908,1202.72454,11.911
Pathological 20 ,8.5556,8.61612,8.69346,8.75527,9.23904,9.39572,8.25182,7.86157,9.31168,9.09623,9.02256,9.1034,9.0885,9.43269,8.89078,9.20967,9.2358,8.33908,8.82999,9.03398,9.00652,9.47634,8.9463,9.32187,9.40471,9.03849,9.48073,9.05124,8.8204,9.49808,,9.000254667,9.044865,1.63651,0.38609289,13.344
Michalewicz 20,-2.77612,-5.04899,-5.19217,-5.2971,-4.03934,-3.46394,-2.12994,-4.21396,-3.67756,-3.71512,-4.7197,-4.08878,-6.77269,-5.75674,-3.15132,-3.79597,-4.7614,-2.8391,-6.14154,-3.76729,-4.95417,-4.06428,-4.87626,-5.56585,-5.84637,-4.9771,-5.27461,-5.20679,-4.78425,-5.42751,,-4.544198667,-4.772825,4.64275,1.059806894,9.168
Masters Cosine Wave 20 ,-10.1093,-13.1559,-11.8259,-8.41803,-13.2699,-13.499,-13.3722,-15.191,-12.6862,-13.3505,-16.5749,-7.39358,-11.8479,-12.2567,-7.1795,-13.3049,-10.5015,-11.7034,-11.3723,-15.1921,-11.2075,-15.7777,-11.2514,-13.4319,-14.5918,-10.6516,-12.3319,-13.9429,-15.114,-13.6961,,-12.47338367,-12.92105,9.3954,2.249945883,9.102
Shekels Foxhole 10,-0.0177399,-0.0438501,-0.0171841,-0.020679,-0.0216274,-0.019525,-0.0325654,-0.0253306,-0.0226179,-0.0329544,-0.0225389,-0.0313439,-0.0227622,-0.0197223,-0.0290132,-0.0177134,-0.0245433,-0.0198231,-0.0232301,-0.0280775,-0.0215728,-0.0264147,-0.0200421,-0.0198097,-0.0289197,-0.0225628,-0.0176975,-0.0194597,-0.0169653,-0.0250501,,-0.023711203,-0.02255085,0.0268848,0.005855864,12.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,average,median,,standard deviation,
